platform,id,title,text,score,created_date,author,url
twitter,1938972450794225683,@_nintendo_006 두둥 ㄴㅇㄱ,@_nintendo_006 두둥 ㄴㅇㄱ,0,2025-06-28 14:47:11+00:00,1937396412054142978,https://twitter.com/i/status/1938972450794225683
twitter,1938972429650669970,nintendo ahh music and i love it https://t.co/DiDW...,nintendo ahh music and i love it https://t.co/DiDWoWfppL,0,2025-06-28 14:47:06+00:00,1188035385391104000,https://twitter.com/i/status/1938972429650669970
twitter,1938972419416563884,"Voilà le résultat avec les films et jeux rangés, i...","Voilà le résultat avec les films et jeux rangés, il me reste un peu de place pour de futur acquisition 🤩 #PlayStation #Nintendo #Cinema #Hollywood #Geekcollector #Film https://t.co/8tlnWRzDPk",0,2025-06-28 14:47:03+00:00,59428197,https://twitter.com/i/status/1938972419416563884
twitter,1938972413418709243,Wi-Fiルーターの選び方に迷う時「一般家庭での利用」「SNSやYouTube等の動画閲覧が中心」な...,Wi-Fiルーターの選び方に迷う時「一般家庭での利用」「SNSやYouTube等の動画閲覧が中心」ならBuffaloの安いモデルで十分。国産で最安値3000円台って激安だしコスパ最強でおすすめ。超広い家で大人数でWiFi同時接続でもしない限り、バッファロー一択でPRしたい。 https://t.co/BXbcHfEuj6,0,2025-06-28 14:47:02+00:00,1468625392072531973,https://twitter.com/i/status/1938972413418709243
twitter,1938972410759487715,"J'ai reçu mon nouveau meuble télé, de quoi bien ra...","J'ai reçu mon nouveau meuble télé, de quoi bien ranger mes films et jeux physiques 🤩 je suis comme un fou 😊 #Geekcollector #PlayStation #Nintendo #Cinema #Hollywood #Film https://t.co/oJkFXqoMl4",0,2025-06-28 14:47:01+00:00,59428197,https://twitter.com/i/status/1938972410759487715
twitter,1938972353142366355,"@Gluttony_ghost7 お願いします！

https://t.co/loAABNpoBr","@Gluttony_ghost7 お願いします！

https://t.co/loAABNpoBr",0,2025-06-28 14:46:48+00:00,1609136028316733440,https://twitter.com/i/status/1938972353142366355
twitter,1938972322121306203,"no,2
【Switch2新たに設けられた応募条件】
第1回～第4回の抽選販売のいずれかに応募し、一...","no,2
【Switch2新たに設けられた応募条件】
第1回～第4回の抽選販売のいずれかに応募し、一度も当選していないこと
↑
とにかく当たってない人、という条件だね

Nintendo Switch2 新品はコチラ
https://t.co/0WSSZw8fhq

https://t.co/CyeMmWrH2C",0,2025-06-28 14:46:40+00:00,1871805185250783232,https://twitter.com/i/status/1938972322121306203
twitter,1938972317456929091,@JamieMoranUK If Nintendo had a service like GameP...,"@JamieMoranUK If Nintendo had a service like GamePass I assure you that it'd be critiziced just as much, by exactly the same people who complain about Xbox GamePass (hint: they play movies on their console instead of games)",0,2025-06-28 14:46:39+00:00,1615357738086694915,https://twitter.com/i/status/1938972317456929091
twitter,1938972296917721449,@Keithrising https://t.co/jFmsrFYJI0,@Keithrising https://t.co/jFmsrFYJI0,0,2025-06-28 14:46:34+00:00,1595210196976300032,https://twitter.com/i/status/1938972296917721449
twitter,1938972287748669602,@FountainCartoon wait until you find out that you'...,@FountainCartoon wait until you find out that you're older than Nintendo,0,2025-06-28 14:46:32+00:00,711068178462302208,https://twitter.com/i/status/1938972287748669602
twitter,1938972205574193623,@statesminds @sanchangox @Wario64 You two are path...,"@statesminds @sanchangox @Wario64 You two are pathetic, and knowing nintendo THIS is not gonna stop because LRG put THIS phisical copy at that price ,the people never asked for that price and nintendo allow THIS with them",0,2025-06-28 14:46:12+00:00,1480345340624658435,https://twitter.com/i/status/1938972205574193623
twitter,1938972190700958101,"Time 100 COmpanies
Waymo 
Maximum Effort 
GAP
Spac...","Time 100 COmpanies
Waymo 
Maximum Effort 
GAP
SpaceX
Nintendo
OpenAI
AnySphere
Pppi 
Softbank https://t.co/WTwoepecz2",2,2025-06-28 14:46:09+00:00,45175974,https://twitter.com/i/status/1938972190700958101
twitter,1938972173475156007,@J1mwiper お願いしますhttps://t.co/aq6Sta8DrI,@J1mwiper お願いしますhttps://t.co/aq6Sta8DrI,0,2025-06-28 14:46:05+00:00,1217412560477028352,https://twitter.com/i/status/1938972173475156007
twitter,1938972172136980907,@7_7carapasota @MenserThe Solo si es Nintendo ☝️,@7_7carapasota @MenserThe Solo si es Nintendo ☝️,0,2025-06-28 14:46:04+00:00,1560850159247888384,https://twitter.com/i/status/1938972172136980907
twitter,1938972166084833748,"ザマゼンタ が気になるなら、これも知っておきたい

Nintendo Switch Lite ポケモ...","ザマゼンタ が気になるなら、これも知っておきたい

Nintendo Switch Lite ポケモンデザイン ザシアン・ザマゼ
https://t.co/me3mzQJsXI",0,2025-06-28 14:46:03+00:00,1692363859,https://twitter.com/i/status/1938972166084833748
